Loan_Amount,OS_0,OS_1,OS_2,OS_3,OS_4,OS_5,OS_6,OS_7,OS_8,OS_9,OS_10,OS_11,OS_12,Payment_1,Payment_2,Payment_3,Payment_4,Payment_5,Payment_6,Payment_7,Payment_8,Payment_9,Payment_10,Payment_11,Payment_12,Spend_1,Spend_2,Spend_3,Spend_4,Spend_5,Spend_6,Spend_7,Spend_8,Spend_9,Spend_10,Spend_11,Spend_12,Delq1_1,Delq1_2,Delq1_3,Delq1_4,Delq1_5,Delq1_6,Delq1_7,Delq1_8,Delq1_9,Delq1_10,Delq1_11,Delq1_12,Delq2_1,Delq2_2,Delq2_3,Delq2_4,Delq2_5,Delq2_6,Delq2_7,Delq2_8,Delq2_9,Delq2_10,Delq2_11,Delq2_12,Delq3_1,Delq3_2,Delq3_3,Delq3_4,Delq3_5,Delq3_6,Delq3_7,Delq3_8,Delq3_9,Delq3_10,Delq3_11,Delq3_12,isFraud
160000,85225.01,75115.63,13122.54,66704.73,115677.66,99103.99,3954.26,14577.59,47471.24,47471.24,73057.98,151866.56,3698.35,85226,75116,0,66705,96284,99104,3831,14578,0,47472,0,151867,75116.62,13122.91,53582.19,115677.93,79710.33,3954.27,14454.33,47471.65,0,73058.74,78808.58,3698.79,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130000,50363.26,80858.93,-0.07,13634.15,78924.75,106840.17,17607.17,90420.74,35704.63,32048.65,114812.42,-0.58,38495.74,50364,80859,0,0,0,89233,0,80917,35705,0,114813,0,80859.67,0,13634.22,65290.6,27915.42,0,72813.57,26200.89,32049.02,82763.77,0,38496.32,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,184724.64,263123.67,125576.12,253453.74,502717.21,210246.69,499429.68,-0.32,165840.52,22140.52,265379.66,428577.23,701112.64,0,253800,125577,0,502718,0,499430,0,143700,20771,0,0,78399.03,116252.45,253454.62,249263.47,210247.48,289182.99,0,165840.84,0,264010.14,163197.57,272535.41,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
150000,32103.54,40548.01,-0.99,109841.35,145091.63,42760.98,313.98,120445.85,45594.33,96486.01,107906.67,25854.47,91859.14,32104,40549,0,0,145092,42447,0,120446,45595,89113,107907,25855,40548.47,0,109842.34,35250.28,42761.35,0,120131.87,45594.48,96486.68,100533.66,25854.8,91859.67,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,44361.91,2985.91,112914.19,59273.4,28699.93,97515.73,9572.22,92484.63,41212.18,125736.7,68287.17,118406.55,160824.55,41376,0,112915,59274,28700,97516,9573,92485,0,125737,0,97582,0,109928.28,59274.21,28700.53,97515.8,9572.49,92485.41,41212.55,84524.52,68287.47,50119.38,140000,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,30913.07,55658.32,112828.65,164452.06,219997.7,260986.7,282520.2,48218.62,31952.44,31952.44,36512.31,5062.31,66488.58,0,0,0,0,0,0,282521,48219,0,25891,31450,4213,24745.25,57170.33,51623.41,55545.64,40989,21533.5,48219.42,31952.82,0,30450.87,0,65639.27,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50000,25295.05,59424.41,11558.5,12415.1,27818.63,51795.55,30057.67,22038.36,58538.63,33551.85,29456.58,19136.29,39601.27,0,59425,0,12416,0,51796,30058,0,58236,33552,29457,0,34129.36,11559.09,856.6,27819.53,23976.92,30058.12,22038.69,36500.27,33249.22,29456.73,19136.71,20464.98,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,160145.52,249714.3,427389.97,342415.81,82776.81,233462.16,157316.98,204187.41,393577.66,496430.29,233150.11,360825.18,202021.86,0,0,337040,259639,78958,186358,138348,0,0,496431,0,356933,89568.78,177675.67,252065.84,0,229643.35,110212.82,185218.43,189390.25,102852.63,233150.82,127675.07,198129.68,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,112002.52,125400.38,165549.12,245723.7,398831.53,398831.53,660113.32,727244.73,861059.95,200169.33,322077.28,164899.37,253729.32,106252,0,0,0,0,0,0,0,786420,0,263833,0,119649.86,40148.74,80174.58,153107.83,0,261281.79,67131.41,133815.22,125529.38,121907.95,106655.09,88829.95,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150000,76086.86,67626.04,77003.87,109166.19,32070.04,52636.87,138610.8,232832.4,294635.61,22400.6,87658.85,3937.85,138500.51,60705,66478,0,89324,27506,0,0,0,294636,0,83721,3132,52244.18,75855.83,32162.32,12227.85,48072.83,85973.93,94221.6,61803.21,22400.99,65258.25,0,137694.66,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
